Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"If you think something hard is impossible, you’ll never even start trying to achieve it. Belief in secrets is an effective truth.",Thinking Big,"November 7, 2023","December 18, 2022",2Days,,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,
"The best place to look for secrets is where no one else is looking. Most people
think only in terms of what they’ve been taught; schooling itself aims to impart
conventional wisdom. So you might ask: are there any fields that matter but
haven’t been standardized and institutionalized? Physics, for example, is a real
major at all major universities, and it’s set in its ways. The opposite of physics
might be astrology, but astrology doesn’t matter. What about something like
nutrition? Nutrition matters for everybody, but you can’t major in it at Harvard.
Most top scientists go into other fields. Most of the big studies were done 30 or
40 years ago, and most are seriously flawed. The food pyramid that told us to eat
low fat and enormous amounts of grains was probably more a product of
lobbying by Big Food than real science; its chief impact has been to aggravate
our obesity epidemic. There’s plenty more to learn: we know more about the
physics of faraway stars than we know about human nutrition. It won’t be easy,
but it’s not obviously impossible: exactly the kind of field that could yield
secrets.",Knowledge,"September 11, 2023","December 18, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
The best and only thing that one artist can do for another is to serve as an example and an inspiration.,Mindset,"September 7, 2023","December 20, 2022",2Days,,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days
"For me, great is better than terrible, and terrible is better than mediocre because terrible at least gives life flavor.",Mindset,"August 28, 2023","December 20, 2022",2Days,60 Days,2 Days,7 Days,15 Days,15 Days,30 Days,30 Days,30 Days,60 Days
"While making money was good, having meaningful work and meaningful relationships was far better. To me, meaningful work is being on a mission I become engrossed in, and meaningful relationships are those I have with people I care deeply about and who care deeply about me.",Mindset,"September 15, 2025","December 21, 2022",2Days,365 Days,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
"I saw that to do exceptionally well you have to push your limits and that, if you push your limits, you will crash and it will hurt a lot. You will think you have failed—but that won’t be true unless you give up. Believe it or not, your pain will fade and you will have many other opportunities ahead of you, though you might not see them at the time. The most important thing you can do is to gather the lessons these failures provide and gain humility and radical open-mindedness in order to increase your chances of success. Then you press on.",Mindset,"September 14, 2023","December 21, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
"But I needed to have both low risk and high returns, and by setting out on a mission to discover how I could, I learned to go slowly when faced with the choice between two things that you need that are seemingly at odds.///// ⇒ That way you can figure out how to have as much of both as possible. There is almost always a good path that you just haven’t discovered yet, so look for it until you find it rather than settle for the choice that is then apparent to you.",Mindset,"September 15, 2025","December 21, 2022",2Days,365 Days,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
Maturity is the ability to reject good alternatives in order to pursue even better ones.,Thinking Big,"October 8, 2023","December 21, 2022",2Days,120 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days
I’ve also learned that judging people before really seeing things through their eyes stands in the way of understanding their circumstances— and that isn’t smart.,Life Lesson,"October 8, 2023","December 21, 2022",2Days,120 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days
"One has many more supposed friends when one is up than when one is down, because most people like to be with winners and shun losers. True friends are the opposite.",Friendship,"May 25, 2025","December 21, 2022",2Days,365 Days,5 Days,7 Days,7 Days,15 Days,30 Days,30 Days,60 Days,365 Days
"Later on, when I asked him how he came to start his company SpaceX, the audacity of his answer startled me. “For a long time,” he answered, “I’ve thought that it’s inevitable that something bad is going to happen on a planetary scale—a plague, a meteor— that will require humanity to start over somewhere else, like Mars. —— When I asked him about his background in rocketry, he told me he didn’t have one. “I just started reading books,” he said. That’s how shapers think and act. Rather than avoiding risk, if you take intelligent risks, it will give you a competitive edge.",Thinking Big,"November 9, 2023","December 22, 2022",7 Days,,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,,
"Obviously Yunus, Canada, and Gates care deeply about other people, yet the personality tests they took rated them low. Why was that? In speaking with them and reviewing the questions that led to these ratings, it became clear: When faced with a choice between achieving their goal or pleasing (or not disappointing) others, they would choose achieving their goal every time.",Procrastination,"November 9, 2023","December 22, 2022",7 Days,,15 Days,15 Days,30 Days,15 Days,30 Days,30 Days,60 Days,120 Days
Heroes inevitably experience at least one very big failure (which Campbell calls an “abyss” or the “belly of the whale” experience) that tests whether they have the resilience to come back and fight smarter and with more determination.,Mindset,"September 7, 2023","December 22, 2022",5 Days,,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days,
"While I surpassed my wildest dreams
decades ago, I am still struggling today. In time, I realized that the
satisfaction of success doesn’t come from achieving your goals, but from
struggling well. To understand what I mean, imagine your greatest goal,
whatever it is—making a ton of money, winning an Academy Award,
running a great organization, being great at a sport. Now imagine
instantaneously achieving it. You’d be happy at first, but not for long. You
would soon find yourself needing something else to struggle for. Just look at
people who attain their dreams early—the child star, the lottery winner, the
professional athlete who peaks early.————- They typically don’t end up happy
unless they get excited about something else bigger and better to struggle for.
Since life brings both ups and downs, struggling well doesn’t just make your
ups better; it makes your downs less bad. I’m still struggling and I will until I
die, because even if I try to avoid the struggles, they will find me.",Life Lesson,"October 8, 2023","December 23, 2022",5 Days,,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days
"My assessment is that the incremental benefits of having a lot and being on top are not nearly as great as most people think. Having the basics—a good bed to sleep in, good relationships, good food, and good sex—is most important, and those things don’t get much better when you have a lot of money or much worse when you have less. And the people one meets at the top aren’t necessarily more special than those one meets at the bottom or in between.",Life Lesson,"January 26, 2024","December 23, 2022",7 Days,,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,182 Days,
"The more open-minded you are, the less likely you are to deceive yourself—and the more likely it is that others will give you honest feedback. ",Life Lesson,"September 16, 2025","December 24, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days,365 Days
"The key is to fail, learn, and improve quickly. If you’re constantly learning and improving, your evolutionary process will look like the one that’s ascending.",Mindset,"May 21, 2026","December 24, 2022",2Days,365 Days,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,365 Days,365 Days
“Love and work are the cornerstones of our humanness.”,Life Lesson,"October 5, 2023","December 24, 2022",15 Days,,30 Days,60 Days,60 Days,120 Days,,,,
"Where you go in life will depend on how you see things and who and what you feel connected to (your family, your community, your country, mankind, the whole ecosystem, everything). You will have to decide to what extent you will put the interests of others above your own, and which others you will choose to do so for.",Mindset,"September 18, 2025","December 24, 2022",2Days,365 Days,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
You will never handle everything perfectly: Mistakes are inevitable and it’s impor-tant to recognize and accept this fact of life.,Mindset,"November 18, 2023","December 24, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days
"What you think is attainable is just a function of what you know at the moment. Once you start your pursuit you will learn a lot, especially if you triangulate with others; paths you never saw before will emerge.",Thinking Big,"October 26, 2023","December 24, 2022",2Days,120 Days,5 Days,7 Days,7 Days,15 Days,30 Days,30 Days,30 Days,60 Days
"Remember that great expectations create great capabilities. If you limit your
goals to what you know you can achieve, you are setting the bar way too low.",Thinking Big,"March 19, 2024","December 24, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,182 Days
"Your life is not a thing, it’s an experience; the fun comes from designing and enjoying the experience.",Career,"September 21, 2025","December 27, 2022",365 Days,,7 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
You weren’t put on this earth to work eight hours a day at a job you hate until the time comes to die.,Life Lesson,"September 26, 2025","December 29, 2022",5 Days,365 Days,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
"So we’re not very passionate about finding your passion. We believe that people
actually need to take time to develop a passion. And the research shows that, for
most people, passion comes after they try something, discover they like it, and
develop mastery—not before. To put it more succinctly: passion is the result of a
good life design, not the cause.",Career,"October 9, 2023","December 29, 2022",2Days,,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days
"People waste a lot of time working on the wrong problem. If they are lucky, they will fail miserably quickly and get forced by circumstance into working on better problems. If they are unlucky and smart, they’ll succeed—we call it the success disaster—and wake up ten years later wondering how the hell they got to wherever they are, and why they are so unhappy.",Career,"April 20, 2023","December 29, 2022",5 Days,,5 Days,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,
